dcat.created;dcat.issued;dcat.creator;dcat.contributor;dcat.contact_name;dcat.contact_email;dcat.accrualperiodicity;dcat.spatial;dcat.temporal;dcat.granularity;dcat.dataquality;dcat.publisher_type;dcat.conforms_to;dcat.temporal_coverage_start;dcat.temporal_coverage_end;dcat.accessRights;dcat.relation;inspire.theme;inspire.type;inspire.file_identifier;inspire.hierarchy_level;inspire.hierarchy_level_name;inspire.spatial_resolution;inspire.topologic_consistency;inspire.contact_individual_name;inspire.contact_position;inspire.contact_address;inspire.contact_email;inspire.identification_purpose;inspire.extend_description;inspire.extend_bounding_box_westbound_longitude;inspire.extend_bounding_box_eastbound_longitude;inspire.extend_bounding_box_southbound_latitude;inspire.extend_bounding_box_northbound_latitude;default.title;default.description;default.theme;default.keyword;default.license;default.license_url;default.language;default.metadata_languages;default.timezone;default.modified;default.modified_updates_on_metadata_change;default.modified_updates_on_data_change;default.data_processed;default.metadata_processed;default.geographic_reference;default.geographic_reference_auto;default.territory;default.geometry_types;default.bbox;default.publisher;default.references;default.records_count;default.attributions;default.source_domain;default.source_domain_title;default.source_domain_address;default.source_dataset;default.shared_catalog;default.federated;default.parent_domain;default.update_frequency;custom.frequence;custom.cycle;custom.periodicity;pigma.identifiant-pigma;pigma.lien-pigma;pigma.origine;pigma.frequence;pigma.remarque_frequence;datasetid
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Compte Administratif 2016 de Bordeaux Métropole;"<p><span style=""font-size: 12.495px;"">Compte administratif par nature au niveau des chapitres.</span><br/></p>";Finances;budget,data-gouv;Licence Ouverte;https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;fr;Europe/Paris;2019-06-25T09:13:07+00:00;False;False;2023-05-23T15:12:28+00:00;2025-06-02T08:04:31.270000+00:00;fr_70_243300316;False;Bordeaux Métropole;;;Bordeaux Métropole;;3051;;;;;;;False;;;Millésimée;Finalisé;;;;;;;compte-administratif-2016-de-bordeaux-metropole
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Statistiques annuelles d'actes d'Etat Civil de la ville du Haillan;"<p>Recensement des actes administrés par le service relations usagers :</p><b>Actes d'état civil </b>:<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width: 192pt;"" width=""256""><p><colgroup><col style=""mso-width-source:userset;mso-width-alt:8936;width:192pt"" width=""256""/></colgroup><tbody><tr height=""19"" style=""height:14.5pt""><td height=""19"" style=""height:14.5pt;width:192pt"" width=""256"">Reconnaissance</td>
 </tr>
 <tr height=""19"" style=""height:14.5pt"">
  <td height=""19"" style=""height:14.5pt"">Changement de prénoms</td>
 </tr>
 <tr height=""19"" style=""height:14.5pt"">
  <td height=""19"" style=""height:14.5pt"">Changement de noms</td>
 </tr>
 <tr height=""19"" style=""height:14.5pt"">
  <td height=""19"" style=""height:14.5pt"">Rectification administrative</td>
 </tr>
 <tr height=""19"" style=""height:14.5pt"">
  <td height=""19"" style=""height:14.5pt"">Jugement de divorce</td>
 </tr>
 <tr height=""19"" style=""height:14.5pt"">
  <td height=""19"" style=""height:14.5pt"">Naissances</td>
 </tr>
 <tr height=""19"" style=""height:14.5pt"">
  <td height=""19"" style=""height:14.5pt"">Naissance extérieure</td>
 </tr>
 <tr height=""19"" style=""height:14.5pt"">
  <td height=""19"" style=""height:14.5pt"">Mariage</td>
 </tr>
 <tr height=""19"" style=""height:14.5pt"">
  <td height=""19"" style=""height:14.5pt"">Publications mariages extérieurs</td>
 </tr>
 <tr height=""19"" style=""height:14.5pt"">
  <td height=""19"" style=""height:14.5pt"">Opposition à Mariage </td>
 </tr>
 <tr height=""19"" style=""height:14.5pt"">
  <td height=""19"" style=""height:14.5pt"">Transcription de décès</td>
 </tr>
 <tr height=""19"" style=""height:14.5pt"">
  <td height=""19"" style=""height:14.5pt"">Décès</td>
 </tr>
 <tr height=""19"" style=""height:14.5pt"">
  <td height=""19"" style=""height:14.5pt"">Duplicata / mise à jour livret famille</td>
 </tr>
 <tr height=""19"" style=""height:14.5pt"">
  <td height=""19"" style=""height:14.5pt"">Demande d'actes</td>
 </tr>
 <tr height=""19"" style=""height:14.5pt"">
  <td height=""19"" style=""height:14.5pt"">Pacs enregistrement</td>
 </tr>
 <tr height=""19"" style=""height:14.5pt"">
  <td height=""19"" style=""height:14.5pt"">Pacs dissous</td>
 </tr>
 <tr height=""19"" style=""height:14.5pt"">
  <td height=""19"" style=""height:14.5pt"">Pacs célébrations</td>
 </tr>
 <tr height=""19"" style=""height:14.5pt"">
  <td height=""19"" style=""height:14.5pt"">Vœux</td>
 </tr>
 <tr height=""19"" style=""height:14.5pt"">
  <td height=""19"" style=""height:14.5pt"">Parrainages</td>
 </tr>
 <tr height=""19"" style=""height:14.5pt"">
  <td height=""19"" style=""height:14.5pt"">Récépissé mention</td>
 </tr>
 <tr height=""19"" style=""height:14.5pt"">
  <td height=""19"" style=""height:14.5pt"">Avis de mention reçus</td>
 </tr>
 <tr height=""19"" style=""height:14.5pt"">
  <td height=""19"" style=""height:14.5pt""><p><br/></p><p><b>Affaires générales</b> :</p><p>Attestation d'accueil</p></td>
 </tr>
 <tr height=""19"" style=""height:14.5pt"">
  <td height=""19"" style=""height:14.5pt"">Recensement militaire</td>
 </tr>
 <tr height=""19"" style=""height:14.5pt"">
  <td height=""19"" style=""height:14.5pt"">Certificat d'hérédité</td>
 </tr>
 <tr height=""19"" style=""height:14.5pt"">
  <td height=""19"" style=""height:14.5pt"">Attestation de vie maritale</td>
 </tr>
 <tr height=""19"" style=""height:14.5pt"">
  <td height=""19"" style=""height:14.5pt"">Certificat de Vie</td>
 </tr>
 <tr height=""19"" style=""height:14.5pt"">
  <td height=""19"" style=""height:14.5pt"">Certificat de Résidence</td>
 </tr>
 <tr height=""19"" style=""height:14.5pt"">
  <td height=""19"" style=""height:14.5pt"">Certificat Bordeaux Métropole</td>
 </tr>
 <tr height=""19"" style=""height:14.5pt"">
  <td height=""19"" style=""height:14.5pt"">Regroupement familial</td>
 </tr>
 <tr height=""19"" style=""height:14.5pt"">
  <td height=""19"" style=""height:14.5pt""><p><br/></p><p><b>Affaires funéraires :</b></p><p>Achats</p></td>
 </tr>
 <tr height=""19"" style=""height:14.5pt"">
  <td height=""19"" style=""height:14.5pt"">Renouvellement</td>
 </tr>
 <tr height=""19"" style=""height:14.5pt"">
  <td height=""19"" style=""height:14.5pt"">Inhumations</td>
 </tr>
 <tr height=""19"" style=""height:14.5pt"">
  <td height=""19"" style=""height:14.5pt"">Exhumations</td>
 </tr>
 <tr height=""19"" style=""height:14.5pt"">
  <td height=""19"" style=""height:14.5pt"">Travaux</td>
 </tr>
 <tr height=""19"" style=""height:14.5pt"">
  <td height=""19"" style=""height:14.5pt"">Reprises</td>
 </tr>
 <tr height=""19"" style=""height:14.5pt"">
  <td height=""19"" style=""height:14.5pt"">Rétrocessions</td>
 </tr></tbody></p><p><tbody><tr height=""19"" style=""height:14.5pt"">Données produites par le service relations usagers de la ville du Haillan. </tr></tbody></p></table>";Etat Civil;État-civil,data-gouv;Licence Ouverte;https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;fr;Europe/Paris;2023-07-11T12:26:14+00:00;False;True;2023-07-11T12:26:14+00:00;2025-06-02T08:08:05.024000+00:00;fr_80_33200;False;Le Haillan;;;Ville Le Haillan;;143;;;;;;;False;;;Millésimée;Finalisé;Annuelle;;;;;;leh_statistiques_etat_civil_annee
;2012-09-20;Ville de Bordeaux;Finances;;;Annuelle;;;Chapitre;Précision : Bonne, Exhaustivité : Totale;;;;;;;;;;;;;;;;;;;;;;;;Budget 2005 par nomenclature de la ville de Bordeaux;Budget 2005 par nomenclature.;Finances;Budget principal,Chapitre,Nomenclature;Licence Ouverte;https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;;;;2019-04-08T10:31:35+00:00;False;False;2020-07-23T12:49:19+00:00;2025-06-02T08:10:42.905000+00:00;fr_80_33063;False;Bordeaux;;;Ville de Bordeaux;;31;;;;;;;False;;;Millésimée;Finalisé;;;;;;;bor_budgetnomenc_2005
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Budget primitif 2021 de Bordeaux Métropole;"<p><span style=""font-size: 12.495px;"">Crédits votés au budget primitif par nature au niveau des chapitres.</span></p>";Finances;budget,finances,data-gouv;Licence Ouverte;https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;fr;Europe/Paris;2021-12-21T16:31:40+00:00;False;True;2021-12-21T16:31:40+00:00;2025-06-02T08:04:35.262000+00:00;fr_70_243300316;False;Bordeaux Métropole;;;Bordeaux Métropole;;1868;;;;;;;False;;;Millésimée;Finalisé;Annuelle;;;;;;met_budget_primitif_2021
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Observatoire du goût de l'eau;Résultats des dégustations d'eau par un échantillon de gouteurs d'eau sur le périmètre de Bordeaux Métropole. ;Eau et assainissement;goût,eau,observatoire,data-gouv;Licence Ouverte;https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;;;;2019-04-03T15:49:46+00:00;False;False;2020-11-13T09:01:51+00:00;2025-06-02T08:04:33.486000+00:00;fr_70_243300316;False;Bordeaux Métropole;;;Bordeaux Métropole;;574;;;;;;;False;;;Millésimée;Finalisé;;;;;;;lde_ldp_odge_01012011
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Compte Administratif 2019 de la ville de Bordeaux;Compte administratif par nature au niveau des chapitres.;Finances;budget,finances;Licence Ouverte;https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;fr;Europe/Paris;2020-11-30T09:54:52+00:00;False;True;2020-11-30T09:54:52+00:00;2025-06-02T08:11:56.152000+00:00;fr_80_33063;False;Bordeaux;;;Ville de Bordeaux;;1516;;;;;;;False;;;Millésimée;Finalisé;Annuelle;;;;;;bor_compte_administratif_2019
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Budget primitif 2017 de Bordeaux Métropole;"<p><span style=""font-size: 12.495px;"">Crédits votés au budget primitif par nature au niveau des chapitres.</span><br/></p>";Finances;undefined,data-gouv;Licence Ouverte;https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;fr;Europe/Paris;2019-06-20T08:31:45+00:00;False;False;2023-05-23T14:19:45+00:00;2025-06-02T08:04:29.601000+00:00;fr_70_243300316;False;Bordeaux Métropole;;;Bordeaux Métropole;;2998;;;;;;;False;;;Millésimée;Finalisé;;;;;;;budget-primitif-2017-de-bordeaux-metropole
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Parkings données techniques 2019;"<p>Les données techniques des parkings publics 2019 vous informe sur la capacité des parkings, leur gestionnaire, leur caractéristique... <span style=""font-size: 12.495px;"">Vous pouvez les géolocaliser grâce à la couche </span><a href=""https://opendata.bordeaux-metropole.fr/explore/dataset/st_park_p"" style='background-color: rgb(255, 255, 255); font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif; font-size: 14px; font-weight: 400;' target=""_blank"">Parking hors voirie</a><span style=""font-size: 12.495px;""> et la mettre en relation avec le jeu de données </span><a href=""https://opendata.bordeaux-metropole.fr/explore/dataset/to_eqpub_p"" style='background-color: rgb(255, 255, 255); font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif; font-size: 14px; font-weight: 400;' target=""_blank"">Equipement public</a><span style=""font-size: 12.495px;"">.</span></p>";Transports/mobilité;mobilité,transports,stationnements,places,parkings,tramway,tram,tbm,2019,data-gouv;Licence Ouverte;https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;;;;2019-10-28T14:49:04.695000+00:00;False;False;2019-10-28T14:55:28+00:00;2025-06-02T08:04:29.542000+00:00;fr_70_243300316;False;Bordeaux Métropole;;;Bordeaux Métropole;;79;;;;;;;False;;;Millésimée;Finalisé;;;;;;;parkings-donnees-techniques-2019
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Budget primitif 2023 du CCAS de la ville de Bordeaux;Crédits votés au budget primitif par nature au niveau des chapitres.;Finances;budget,finances,data-gouv;Licence Ouverte;https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;fr;Europe/Paris;2023-09-27T14:02:32+00:00;False;True;2023-09-27T14:02:32+00:00;2025-06-02T08:11:46.329000+00:00;fr_80_33063;False;Bordeaux;;;CCAS de la ville de Bordeaux;;163;;;;;;;False;;;Millésimée;Finalisé;Annuelle;;;;;;bor_ccas_budget_primitif_2023
;2012-09-20;Ville de Bordeaux;Finances;;;Annuelle;;;Chapitre;Précision : Bonne, Exhaustivité : Totale;;;;;;;;;;;;;;;;;;;;;;;;Budget 2008 par nomenclature de la ville de Bordeaux;Budget 2008 par nomenclature.;Finances;Budget principal,Chapitre,Nomenclature;Licence Ouverte;https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;;;;2019-04-08T10:31:38+00:00;False;False;2020-07-23T12:52:19+00:00;2025-06-02T08:06:58.501000+00:00;fr_80_33063;False;Bordeaux;;;Ville de Bordeaux;;32;;;;;;;False;;;Millésimée;Finalisé;;;;;;;bor_budgetnomenc_2008
